Name,Title,Federation,Rating,Performance Rating,Games Played,Total Score,Score %,Expected Score %,Difference
"Chami Amir",,LBN,1623,1389,6,1.5,25.0,51.8,-26.8
"Hamadeh Sally",,LBN,1622,1603,30,10.5,35.0,36.7,-1.7
"Salameh Celio Wissam",,LBN,1620,1562,22,8.5,38.6,38.5,0.1
"El Khoury Alexander",,LBN,1618,1494,18,4.5,25.0,34.2,-9.2
"Samman Karim",,LBN,1617,1567,16,6.0,37.5,32.4,5.1
"El Khoury Elias",,LBN,1616,1581,16,6.5,40.6,45.3,-4.7
"Temraz Samer",,LBN,1616,1631,10,5.0,50.0,48.4,1.6
"Tawil Charbel.",,SYR,1613,1580,10,5.0,50.0,54.4,-4.4
"Harakeh Jihad",,LBN,1613,1492,5,1.0,20.0,32.1,-12.1
"Rahhal Serje",,LBN,1605,1627,5,2.5,50.0,47.2,2.8
"Eid Christopher",,LBN,1598,1252,13,1.5,11.5,46.5,-35.0
"Ghanem Haitham Yehia",,LBN,1598,1623,6,2.0,33.3,32.4,0.9
"Hanna Kevin Claude",,LBN,1597,1479,2,0.0,0.0,19.3,-19.3
"Sioufi Oussama",,LBN,1594,1498,13,4.0,30.8,39.2,-8.4
"Altal Mohammad Fares.",,SYR,1592,1220,3,0.0,0.0,38.9,-38.9
"Fares Ali",,LBN,1588,1591,21,7.0,33.3,29.0,4.3
"Housseiny Ali",,LBN,1587,1642,5,2.0,40.0,29.8,10.2
"Tenbelian Haig",,LBN,1584,1415,12,3.0,25.0,43.9,-18.9
"Ghorabi Adam",,LBN,1582,1365,5,1.0,20.0,40.5,-20.5
"Bsat Kinana",,LBN,1579,1720,24,11.5,47.9,31.7,16.3
"Hachem Marc",,LBN,1573,1463,11,3.0,27.3,30.2,-2.9
"Darweeche Hussein",,LBN,1569,1735,11,5.5,50.0,29.7,20.3
"Shehab Mohammad",,LBN,1566,1579,7,2.0,28.6,28.6,-0.0
"Nasr Yamen",,LBN,1566,1557,19,8.0,42.1,35.5,6.6
"Hadad Peter",,LBN,1564,1544,30,9.0,30.0,26.9,3.1
"Atayan Michel",,LBN,1560,1578,26,9.0,34.6,30.9,3.7
"Kassar Paul",,LBN,1557,1396,17,3.5,20.6,34.8,-14.2
"Kassar Pierre",,LBN,1555,1316,8,1.0,12.5,33.7,-21.2
"Zeitjian Sarkis",,LBN,1546,1560,24,7.0,29.2,23.3,5.9
"El Abd Qassim",,PLE,1546,1583,6,2.5,41.7,34.3,7.4
"Hassabo Christopher",,LBN,1537,1538,15,4.0,26.7,25.5,1.2
"Jarrah Taha",,LBN,1537,1546,2,1.0,50.0,48.9,1.1
"Al Dahab Khaled",,LBN,1531,1392,5,1.0,20.0,30.2,-10.2
"Saab Mario",,LBN,1531,1350,4,0.5,12.5,29.0,-16.5
"Hijazi Kassem Rabih",,LBN,1530,1628,2,1.0,50.0,40.6,9.4
"Al Jurdi Ribal",,LBN,1519,1642,10,4.0,40.0,23.3,16.7
"Bchara Eugenie",,LBN,1518,1722,6,3.0,50.0,24.4,25.6
"Aawar Amid",,LBN,1514,1361,17,2.5,14.7,26.3,-11.6
"Sharif Nour",,LBN,1513,1295,7,0.5,7.1,26.5,-19.4
"Dirani Hussien",,LBN,1513,1248,3,0.0,0.0,21.4,-21.4
"Chaheen Raed",,LBN,1506,1192,3,0.0,0.0,26.7,-26.7
"Masri Mohamad",,LBN,1503,1591,25,10.5,42.0,30.2,11.8
"Saber Samer",,LBN,1499,1222,4,0.0,0.0,22.4,-22.4
"Abdallah Jennifer",,LBN,1493,1468,5,1.5,30.0,28.7,1.3
"Baddour Daniel",,LBN,1491,1217,3,0.0,0.0,21.6,-21.6
"Kobeissey Jessica",,LBN,1490,1451,14,3.5,25.0,23.3,1.7
"Seropian Zareh",,LBN,1490,1435,4,1.0,25.0,25.4,-0.4
"Hreiche Hasan",,LBN,1488,1219,4,0.0,0.0,22.2,-22.2
"Souaid Elie",,LBN,1470,1225,3,0.0,0.0,20.1,-20.1
"El Khoury Jean Pierre",,LBN,1466,1491,18,6.0,33.3,25.8,7.6
"Bchara Anthony",,LBN,1462,1518,21,6.5,31.0,21.2,9.7
"Dagher Habib",ACM,LBN,1460,1432,28,6.0,21.4,20.5,1.0
"Seifeddine Ghazi",,LBN,1459,1400,17,3.5,20.6,21.1,-0.5
"Tohme Johnny",,LBN,1456,1216,3,0.0,0.0,18.9,-18.9
"Nasr Jason",,LBN,1456,1120,2,0.0,0.0,33.1,-33.1
"Karaali Hadi",,LBN,1446,1148,4,0.0,0.0,24.1,-24.1
"Saleh Jihad",,LBN,1445,1121,8,0.0,0.0,30.1,-30.1
"Saliba Marc Samer",,LBN,1441,1181,4,0.0,0.0,20.4,-20.4
"Al Khoury Yorgo",,LBN,1440,1229,2,0.0,0.0,16.9,-16.9
"Hammoud Amro",,LBN,1435,1127,4,0.0,0.0,25.4,-25.4
"Francis Myriam",,LBN,1427,1357,5,1.0,20.0,25.2,-5.2
"Karout Al Horr",,LBN,1426,1469,3,1.0,33.3,23.5,9.8
"Masri Ali Rida",,LBN,1417,1366,28,7.0,25.0,33.8,-8.8
"Jeradeh Rym",,LBN,1411,1295,20,4.0,20.0,35.0,-15.0
"Atayan Carlo",,LBN,1409,1407,21,5.5,26.2,28.6,-2.4
"El Jawich Qusay",,LBN,1401,1262,10,1.0,10.0,19.7,-9.7
"AlAhmad Ahmad Adnan",,LBN,0,1595,6,3.0,50.0,37.0,13.0
"El Jawich Louay",,LBN,0,1421,7,2.0,28.6,37.9,-9.3
"Abi Chaaya Rolanthony",,LBN,0,1415,5,1.5,30.0,39.6,-9.6
"Abou Dargham Johnny",,LBN,0,1309,8,1.0,12.5,35.6,-23.1
"Younes Youssef",,LBN,0,1272,19,2.5,13.2,41.3,-28.2
"Eid Oliver",,LBN,0,1281,16,2.5,15.6,42.3,-26.7
"Abdalah Jad",,LBN,0,1462,11,3.0,27.3,32.3,-5.0
"Akiki Charbel",,LBN,0,1271,12,0.5,4.2,32.4,-28.2
"Hamoud Ali",,LBN,0,1150,2,0.0,0.0,43.1,-43.1
"Rammal Karim",,LBN,0,1125,4,0.0,0.0,46.5,-46.5
"Abi Aad Michel",,LBN,0,1211,8,0.0,0.0,35.1,-35.1
"Hamade Rawad",,LBN,0,1131,8,0.0,0.0,45.8,-45.8
"Bechaalany Anthony",,LBN,0,1479,3,1.0,33.3,34.6,-1.3
"Kayem Assi",,LBN,0,1233,26,2.0,7.7,41.3,-33.6
"Rammal Celena",,LBN,0,1046,1,0.0,0.0,57.7,-57.7
"Haidar Riad",,LBN,0,1132,3,0.0,0.0,45.5,-45.5
"Fayad Michel",,LBN,0,1232,8,1.0,12.5,45.7,-33.2
"Chamoun John",,LBN,0,1139,4,0.0,0.0,44.6,-44.6
"Diab Dia Hassan",,LBN,0,1195,5,0.0,0.0,37.4,-37.4
"Fayad Selim",,LBN,0,1190,3,0.0,0.0,37.7,-37.7
"Abi Aad Marc",,LBN,0,1257,2,0.0,0.0,28.9,-28.9
"Rahbani Mathew",,LBN,0,1077,3,0.0,0.0,53.3,-53.3
"Khoury Chakib",,LBN,0,1143,2,0.0,0.0,44.1,-44.1
"Keirouz Kabalan",,LBN,0,1623,3,2.0,66.7,51.5,15.2
"Bechelany Anthony",,LBN,0,1167,4,0.0,0.0,41.1,-41.1
"Shamseddine Hussein",,LBN,0,1150,3,0.0,0.0,43.0,-43.0
"Mahdi Yousef Mohamad",,LBN,0,1165,4,0.0,0.0,41.1,-41.1
"Mardikian Antranik Maria",,LBN,0,1115,4,0.0,0.0,48.2,-48.2
"Rahal Ali Hassan",,LBN,0,1230,10,1.0,10.0,43.1,-33.1
"Hamze Adam",,LBN,0,1169,4,0.0,0.0,40.7,-40.7
"Eid Joe",,LBN,0,1385,5,1.0,20.0,33.5,-13.5
"Jeradeh Lyn",,LBN,0,1140,7,0.0,0.0,44.7,-44.7
"Moghabghab Jad",,LBN,0,1079,2,0.0,0.0,53.0,-53.0
"Christ Aramali",,LBN,0,1279,3,0.0,0.0,27.1,-27.1
"Kassaa Karim",,LBN,0,1319,6,1.0,16.7,38.6,-21.9
"Daher Stephan",,LBN,0,1352,3,0.0,0.0,20.0,-20.0
"Barnaba Kay",,LBN,0,1308,4,0.0,0.0,23.9,-23.9
"Saadeddine Lea",,LBN,0,1341,6,1.0,16.7,36.3,-19.7
"Hammoud Mohammad",,LBN,0,1208,8,0.0,0.0,35.4,-35.4
"El Kassa Omar",,LBN,0,1349,10,1.5,15.0,34.4,-19.4
"Ghanem Georgio",,LBN,0,1222,5,0.0,0.0,33.4,-33.4
"Amin Micheal",,LBN,0,1339,5,0.0,0.0,21.7,-21.7
"Saadeddine Lana",,LBN,0,1210,2,0.0,0.0,35.4,-35.4
"Shoucair Alexander",,LBN,0,1169,8,0.0,0.0,40.5,-40.5
"Salam Reina",,LBN,0,1126,1,0.0,0.0,46.3,-46.3
"Farra Marc Anwar",,LBN,0,1795,7,4.0,57.1,21.2,35.9
"Asaad Ali",,LBN,0,1580,7,3.0,42.9,32.9,9.9
"Abou Hjeily Karim",,LBN,0,1468,4,1.0,25.0,27.8,-2.8
"Al Harakeh Wassim",,LBN,0,1465,6,2.0,33.3,36.7,-3.4
"Al Bitar Mohammad Hachem Mahmoud",,LBN,0,1194,4,0.0,0.0,37.4,-37.4
"Ghabach Maria",,LBN,0,1181,5,0.0,0.0,39.3,-39.3
"Joumaa Amir",,LBN,0,1146,3,0.0,0.0,43.7,-43.7
"Abou Zeid Joseph",,LBN,0,1253,4,0.0,0.0,30.5,-30.5
"Khayat Ryan",,LBN,0,1402,6,2.0,33.3,45.2,-11.9
"Chaaya Ribal",,LBN,0,1200,4,0.0,0.0,36.4,-36.4
"Houmani Ali",,LBN,0,1422,6,1.5,25.0,34.5,-9.5
"AbouKhdoud Ali",,LBN,0,1470,6,1.5,25.0,28.5,-3.5
"El Aoji Karim",,LBN,0,1316,6,1.5,25.0,48.1,-23.1
"Yehya Hussein",,LBN,0,1400,5,1.0,20.0,32.7,-12.7
"Takkoush Abdallah",,LBN,0,1439,4,1.0,25.0,31.9,-6.9
"Mrad Mario",,LBN,0,1379,3,1.0,33.3,48.4,-15.1
"Itani Ahmad",,LBN,0,1457,5,1.5,30.0,35.1,-5.1
"Khoury Zahi",,LBN,0,1120,3,0.0,0.0,47.4,-47.4
"Taha Saria",,LBN,0,1135,3,0.0,0.0,45.1,-45.1
"Taha Khaled",,LBN,0,1103,3,0.0,0.0,49.7,-49.7
"Al Sheikh Younes",,LBN,0,1686,6,2.0,33.3,16.4,17.0
"Chabab Sarah",,LBN,0,1298,4,0.5,12.5,36.7,-24.2
"Younis Youssef El Sedeek",,LBN,0,1298,3,0.0,0.0,26.6,-26.6
"Atayan Aren",,LBN,0,1296,2,0.0,0.0,26.2,-26.2
"Bsaibess Brian",,LBN,0,1378,4,1.0,25.0,39.7,-14.7
"AbdelSamad Loren",,LBN,0,1239,3,0.0,0.0,34.8,-34.8
